microchip;species;sex;size;potentDangerous;neighborhood
900250000481261;CANINO;MACHO;GRANDE;SI;USAQUEN
900250000481454;CANINO;MACHO;MEDIANO;SI;USAQUEN
900250000481473;CANINO;HEMBRA;PEQUEÑO;NO;USAQUEN
900250000481484;CANINO;MACHO;MEDIANO;NO;USAQUEN
900250000481488;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
900250000481500;FELINO;HEMBRA;PEQUEÑO;NO;USAQUEN
900250000481502;FELINO;MACHO;GRANDE;NO;USAQUEN
900250000481575;CANINO;HEMBRA;GRANDE;SI;USAQUEN
900250000481579;CANINO;MACHO;MEDIANO;NO;USAQUEN
900250000481582;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
900250000481583;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
900250000481587;CANINO;MACHO;MEDIANO;NO;USAQUEN
900250000481590;CANINO;MACHO;PEQUEÑO;NO;USAQUEN
900250000481675;CANINO;MACHO;MEDIANO;NO;USAQUEN
900250000481817;CANINO;HEMBRA;MEDIANO;SI;USAQUEN
900250000481834;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
900250000481835;CANINO;MACHO;MINIATURA;NO;USAQUEN
900250000481839;FELINO;MACHO;PEQUEÑO;NO;USAQUEN
900250000481843;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
900250000481847;CANINO;HEMBRA;GRANDE;SI;USAQUEN
900250000481853;CANINO;MACHO;MEDIANO;NO;USAQUEN
900250000481956;CANINO;MACHO;MEDIANO;NO;USAQUEN
900250000482165;CANINO;HEMBRA;GRANDE;NO;USAQUEN
900250000482247;CANINO;MACHO;MEDIANO;NO;USAQUEN
900250000482365;FELINO;HEMBRA;MEDIANO;NO;USAQUEN
900250000482370;CANINO;MACHO;PEQUEÑO;NO;USAQUEN
900250000482463;CANINO;MACHO;GRANDE;NO;USAQUEN
900250000482489;CANINO;HEMBRA;GRANDE;NO;USAQUEN
900250000482494;CANINO;MACHO;PEQUEÑO;NO;USAQUEN
900250000482495;CANINO;MACHO;MEDIANO;NO;USAQUEN
900250000482496;CANINO;HEMBRA;GRANDE;NO;USAQUEN
900250000482501;CANINO;HEMBRA;PEQUEÑO;NO;USAQUEN
900250000482502;CANINO;HEMBRA;MEDIANO;SI;USAQUEN
900250000482505;CANINO;MACHO;MEDIANO;NO;USAQUEN
900250000482507;CANINO;MACHO;PEQUEÑO;NO;USAQUEN
900250000482509;CANINO;MACHO;PEQUEÑO;NO;USAQUEN
900250000482512;CANINO;MACHO;MINIATURA;SI;USAQUEN
900250000482594;CANINO;MACHO;MINIATURA;NO;USAQUEN
900250000482613;CANINO;MACHO;MINIATURA;NO;USAQUEN
900250000482617;CANINO;HEMBRA;MINIATURA;NO;USAQUEN
900250000482699;FELINO;MACHO;GRANDE;NO;USAQUEN
900250000482705;FELINO;HEMBRA;MEDIANO;NO;USAQUEN
900250000482762;CANINO;MACHO;PEQUEÑO;NO;USAQUEN
900250000482767;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
900250000482770;CANINO;HEMBRA;PEQUEÑO;NO;USAQUEN
900250000482848;FELINO;MACHO;GRANDE;NO;USAQUEN
900250000482863;CANINO;MACHO;PEQUEÑO;NO;USAQUEN
900250000482897;CANINO;HEMBRA;PEQUEÑO;NO;USAQUEN
900250000596109;CANINO;HEMBRA;GRANDE;SI;USAQUEN
900250000596140;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
900250000596141;CANINO;MACHO;MEDIANO;NO;USAQUEN
900250000596142;CANINO;HEMBRA;MINIATURA;NO;USAQUEN
900250000596143;CANINO;MACHO;GRANDE;NO;USAQUEN
900250000596144;CANINO;HEMBRA;PEQUEÑO;NO;USAQUEN
900250000596145;CANINO;MACHO;GRANDE;NO;USAQUEN
900250000596146;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
900250000596147;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
900250000596148;CANINO;HEMBRA;MEDIANO;SI;USAQUEN
900250000596149;CANINO;MACHO;MEDIANO;NO;USAQUEN
900250000596150;CANINO;HEMBRA;PEQUEÑO;NO;USAQUEN
900250000596151;CANINO;MACHO;MEDIANO;NO;USAQUEN
900250000596152;CANINO;MACHO;GRANDE;NO;USAQUEN
900250000596153;CANINO;HEMBRA;GRANDE;NO;USAQUEN
900250000596154;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
900250000596155;CANINO;HEMBRA;GRANDE;NO;USAQUEN
900250000596156;CANINO;HEMBRA;GRANDE;NO;USAQUEN
900250000596157;CANINO;MACHO;PEQUEÑO;NO;USAQUEN
900250000596158;CANINO;MACHO;MEDIANO;NO;USAQUEN
900250000596160;CANINO;HEMBRA;PEQUEÑO;NO;USAQUEN
900250000596163;CANINO;MACHO;PEQUEÑO;NO;USAQUEN
900250000596165;CANINO;HEMBRA;GRANDE;NO;USAQUEN
900250000596166;CANINO;MACHO;PEQUEÑO;NO;USAQUEN
900250000596167;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
900250000596168;CANINO;MACHO;PEQUEÑO;NO;USAQUEN
900250000596169;CANINO;MACHO;PEQUEÑO;NO;USAQUEN
900250000596170;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
900250000596171;CANINO;MACHO;PEQUEÑO;NO;USAQUEN
900250000596172;CANINO;MACHO;PEQUEÑO;NO;USAQUEN
900250000596174;CANINO;HEMBRA;GRANDE;NO;USAQUEN
900250000596175;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
900250000596176;CANINO;HEMBRA;PEQUEÑO;NO;USAQUEN
900250000596280;CANINO;MACHO;PEQUEÑO;NO;USAQUEN
900250000596281;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
900250000596282;CANINO;MACHO;GRANDE;NO;USAQUEN
900250000596283;FELINO;HEMBRA;PEQUEÑO;NO;USAQUEN
900250000596284;CANINO;MACHO;MEDIANO;NO;USAQUEN
900250000596285;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
900250000596286;CANINO;MACHO;PEQUEÑO;NO;USAQUEN
900250000596287;CANINO;MACHO;GRANDE;NO;USAQUEN
900250000596288;CANINO;MACHO;GRANDE;NO;USAQUEN
900250000596289;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
900250000596290;CANINO;MACHO;MEDIANO;NO;USAQUEN
900250000596291;CANINO;MACHO;PEQUEÑO;NO;USAQUEN
900250000596293;CANINO;MACHO;MEDIANO;SI;USAQUEN
900250000596294;FELINO;HEMBRA;MEDIANO;NO;USAQUEN
900250000596295;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
900250000596296;CANINO;HEMBRA;GRANDE;NO;USAQUEN
900250000596297;CANINO;MACHO;MEDIANO;NO;USAQUEN
900250000596298;CANINO;MACHO;GRANDE;NO;USAQUEN
900250000596299;CANINO;MACHO;MEDIANO;NO;USAQUEN
900250000596400;FELINO;HEMBRA;PEQUEÑO;NO;USAQUEN
900250000596401;CANINO;HEMBRA;PEQUEÑO;NO;USAQUEN
900250000596402;CANINO;MACHO;GRANDE;SI;USAQUEN
900250000596403;CANINO;HEMBRA;PEQUEÑO;NO;USAQUEN
900250000596405;CANINO;HEMBRA;GRANDE;SI;USAQUEN
900250000596407;FELINO;MACHO;MEDIANO;NO;USAQUEN
900250000596409;FELINO;HEMBRA;PEQUEÑO;NO;USAQUEN
900250000596411;CANINO;HEMBRA;GRANDE;NO;USAQUEN
900250000596412;CANINO;HEMBRA;PEQUEÑO;NO;USAQUEN
900250000596413;CANINO;HEMBRA;PEQUEÑO;NO;USAQUEN
900250000596414;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
900250000596415;FELINO;MACHO;PEQUEÑO;NO;USAQUEN
900250000596416;CANINO;HEMBRA;PEQUEÑO;NO;USAQUEN
900250000596417;CANINO;MACHO;MEDIANO;SI;USAQUEN
900250000596419;CANINO;HEMBRA;PEQUEÑO;NO;USAQUEN
900250000596445;FELINO;MACHO;PEQUEÑO;NO;USAQUEN
900250000596448;FELINO;HEMBRA;PEQUEÑO;NO;USAQUEN
900250000596452;CANINO;MACHO;GRANDE;NO;USAQUEN
900250000596453;FELINO;MACHO;MEDIANO;NO;USAQUEN
900250000596457;FELINO;HEMBRA;MEDIANO;NO;USAQUEN
900250000596480;CANINO;MACHO;PEQUEÑO;NO;USAQUEN
900250000596482;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
900250000596483;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
900250000596485;CANINO;HEMBRA;MEDIANO;SI;USAQUEN
900250000596486;FELINO;MACHO;PEQUEÑO;NO;USAQUEN
900250000596487;CANINO;HEMBRA;PEQUEÑO;NO;USAQUEN
900250000596488;FELINO;MACHO;PEQUEÑO;NO;USAQUEN
900250000596489;CANINO;MACHO;PEQUEÑO;NO;USAQUEN
900250000596490;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
900250000596491;CANINO;MACHO;MEDIANO;NO;USAQUEN
900250000596492;CANINO;MACHO;PEQUEÑO;NO;USAQUEN
900250000596493;CANINO;MACHO;PEQUEÑO;NO;USAQUEN
900250000596494;CANINO;MACHO;PEQUEÑO;NO;USAQUEN
900250000596496;CANINO;MACHO;GRANDE;SI;USAQUEN
900250000596497;FELINO;HEMBRA;PEQUEÑO;SI;USAQUEN
900250000596498;CANINO;MACHO;MEDIANO;NO;USAQUEN
900250000596499;CANINO;MACHO;PEQUEÑO;NO;USAQUEN
900250000596760;CANINO;MACHO;GRANDE;NO;USAQUEN
900250000596761;CANINO;MACHO;MEDIANO;NO;USAQUEN
900250000596762;CANINO;HEMBRA;GRANDE;SI;USAQUEN
900250000596763;CANINO;HEMBRA;PEQUEÑO;NO;USAQUEN
900250000596764;CANINO;MACHO;PEQUEÑO;NO;USAQUEN
900250000596765;CANINO;HEMBRA;PEQUEÑO;NO;USAQUEN
900250000596766;CANINO;MACHO;GRANDE;NO;USAQUEN
900250000596767;CANINO;HEMBRA;PEQUEÑO;NO;USAQUEN
900250000596768;CANINO;MACHO;PEQUEÑO;NO;USAQUEN
900250000596769;CANINO;MACHO;MEDIANO;NO;USAQUEN
900250000596770;CANINO;MACHO;PEQUEÑO;NO;USAQUEN
900250000596771;CANINO;HEMBRA;MINIATURA;NO;USAQUEN
900250000596772;FELINO;HEMBRA;PEQUEÑO;NO;USAQUEN
900250000596773;FELINO;MACHO;PEQUEÑO;NO;USAQUEN
900250000596774;CANINO;HEMBRA;MINIATURA;NO;USAQUEN
900250000596775;CANINO;HEMBRA;PEQUEÑO;NO;USAQUEN
900250000596776;CANINO;HEMBRA;PEQUEÑO;NO;USAQUEN
900250AS000596778;FELINO;HEMBRA;PEQUEÑO;NO;USAQUEN
900250000596779;CANINO;HEMBRA;GRANDE;NO;USAQUEN
900250000596905;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
900250000596907;CANINO;MACHO;PEQUEÑO;NO;USAQUEN
900250000596930;FELINO;MACHO;MINIATURA;NO;USAQUEN
900250000596933;CANINO;MACHO;GRANDE;SI;USAQUEN
900250000596935;FELINO;MACHO;MINIATURA;NO;USAQUEN
900250000596937;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
900250000597421;CANINO;HEMBRA;PEQUEÑO;NO;USAQUEN
900250000597489;CANINO;MACHO;MEDIANO;NO;USAQUEN
900250000597623;CANINO;MACHO;MINIATURA;NO;USAQUEN
900250000597630;CANINO;MACHO;MINIATURA;NO;USAQUEN
900250000597642;FELINO;MACHO;MINIATURA;NO;USAQUEN
900250000597654;CANINO;HEMBRA;MINIATURA;NO;USAQUEN
900250000597885;CANINO;HEMBRA;PEQUEÑO;NO;USAQUEN
900250000597944;FELINO;HEMBRA;MEDIANO;NO;USAQUEN
900250000597946;CANINO;HEMBRA;MINIATURA;NO;USAQUEN
900250000597950;FELINO;MACHO;MEDIANO;NO;USAQUEN
900250000597952;FELINO;MACHO;PEQUEÑO;NO;USAQUEN
900250000598009;CANINO;HEMBRA;PEQUEÑO;NO;USAQUEN
900250000598150;CANINO;MACHO;GRANDE;NO;USAQUEN
900250000598261;FELINO;HEMBRA;PEQUEÑO;NO;USAQUEN
900250000598313;CANINO;MACHO;GRANDE;NO;USAQUEN
900250000598317;CANINO;MACHO;GRANDE;SI;USAQUEN
900250000598603;CANINO;MACHO;MEDIANO;NO;USAQUEN
900250000598733;FELINO;HEMBRA;MEDIANO;NO;USAQUEN
900250000598983;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
900250000598984;CANINO;HEMBRA;PEQUEÑO;NO;USAQUEN
900250000598989;CANINO;MACHO;MEDIANO;NO;USAQUEN
900250000598992;CANINO;MACHO;GRANDE;NO;USAQUEN
900250000598994;CANINO;MACHO;GRANDE;NO;USAQUEN
900250000598995;CANINO;HEMBRA;MINIATURA;NO;USAQUEN
900250000599202;CANINO;HEMBRA;PEQUEÑO;NO;USAQUEN
900250000599204;CANINO;HEMBRA;PEQUEÑO;NO;USAQUEN
900250000599205;CANINO;HEMBRA;MINIATURA;NO;USAQUEN
900250000599209;FELINO;MACHO;PEQUEÑO;NO;USAQUEN
9002FSA50000599210;CANINO;MACHO;MEDIANO;NO;USAQUEN
900250000599211;CANINO;HEMBRA;GRANDE;NO;USAQUEN
900250000599217;CANINO;HEMBRA;PEQUEÑO;NO;USAQUEN
900250000599219;CANINO;HEMBRA;GRANDE;SI;USAQUEN
900250000599255;CANINO;HEMBRA;PEQUEÑO;NO;USAQUEN
900250000599257;FELINO;MACHO;GRANDE;NO;USAQUEN
900250000599881;CANINO;HEMBRA;GRANDE;NO;USAQUEN
900250000599882;FELINO;HEMBRA;PEQUEÑO;NO;USAQUEN
900250000599883;CANINO;HEMBRA;PEQUEÑO;NO;USAQUEN
900250000599884;CANINO;MACHO;MEDIANO;SI;USAQUEN
900250000599885;CANINO;MACHO;PEQUEÑO;SI;USAQUEN
900250000599886;CANINO;MACHO;GRANDE;NO;USAQUEN
900250000599889;CANINO;MACHO;MEDIANO;NO;USAQUEN
900250000599890;CANINO;MACHO;PEQUEÑO;NO;USAQUEN
900250000599891;CANINO;HEMBRA;GRANDE;NO;USAQUEN
900250000599894;FELINO;MACHO;PEQUEÑO;NO;USAQUEN
900250000599895;CANINO;HEMBRA;PEQUEÑO;NO;USAQUEN
900250000599896;CANINO;HEMBRA;PEQUEÑO;NO;USAQUEN
900250000599897;FELINO;MACHO;PEQUEÑO;NO;USAQUEN
900250000599899;CANINO;HEMBRA;PEQUEÑO;NO;USAQUEN
900250000608123;CANINO;MACHO;MEDIANO;NO;USAQUEN
900250000608176;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
900250000608188;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
900250000609218;CANINO;MACHO;PEQUEÑO;NO;USAQUEN
918101081918307;CANINO;MACHO;MUY GRANDE;NO;USAQUEN
941000000386928;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
941000000389361;CANINO;MACHO;MEDIANO;NO;USAQUEN
941000000389425;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
941000000392197;CANINO;MACHO;MEDIANO;NO;USAQUEN
941000000394150;CANINO;MACHO;MEDIANO;NO;USAQUEN
941000000395169;CANINO;MACHO;MEDIANO;NO;USAQUEN
941000000395642;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
941000000399255;CANINO;MACHO;MEDIANO;NO;USAQUEN
941000000403151;CANINO;MACHO;MEDIANO;NO;USAQUEN
941000000403454;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
941000000404043;CANINO;MACHO;MEDIANO;NO;USAQUEN
941000000412133;CANINO;MACHO;MEDIANO;NO;USAQUEN
941000000461806;CANINO;MACHO;MEDIANO;NO;USAQUEN
941000000481315;CANINO;MACHO;MEDIANO;NO;USAQUEN
941000000481466;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
941000000484326;CANINO;MACHO;MEDIANO;NO;USAQUEN
941000000484384;CANINO;MACHO;MEDIANO;NO;USAQUEN
941000000484437;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
941000000486788;CANINO;MACHO;MEDIANO;NO;USAQUEN
941000000488015;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
941000000918942;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
941000000954137;CANINO;MACHO;MEDIANO;NO;USAQUEN
941000012781727;CANINO;MACHO;MEDIANO;NO;USAQUEN
941000012782289;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
941000012782845;CANINO;MACHO;MEDIANO;NO;USAQUEN
941000012783109;CANINO;MACHO;MEDIANO;NO;USAQUEN
941000012783252;FELINO;MACHO;MEDIANO;NO;USAQUEN
941000012783425;CANINO;MACHO;MEDIANO;NO;USAQUEN
941000012783510;CANINO;MACHO;MEDIANO;NO;USAQUEN
941000013619984;CANINO;MACHO;MEDIANO;NO;USAQUEN
941000013620068;CANINO;MACHO;MEDIANO;NO;USAQUEN
941000014307656;CANINO;MACHO;MEDIANO;NO;USAQUEN
941000014578380;CANINO;MACHO;MEDIANO;NO;USAQUEN
941000014578403;CANINO;MACHO;MEDIANO;NO;USAQUEN
941000014578442;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
941000014578522;CANINO;MACHO;MEDIANO;NO;USAQUEN
941000014578544;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
941000014578584;CANINO;MACHO;MEDIANO;NO;USAQUEN
941000014578588;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
941000014590591;CANINO;MACHO;MEDIANO;NO;USAQUEN
941000014590632;CANINO;MACHO;MEDIANO;NO;USAQUEN
94100001fASF4590718;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
941000015068139;CANINO;MACHO;MEDIANO;NO;USAQUEN
941000015068158;CANINO;MACHO;MEDIANO;NO;USAQUEN
941000015068161;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
941000015068437;FELINO;MACHO;MEDIANO;NO;USAQUEN
941000015068476;CANINO;MACHO;MEDIANO;NO;USAQUEN
941000015069355;CANINO;MACHO;GRANDE;NO;USAQUEN
941000015069408;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
941000015069561;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
941000015070073;CANINO;MACHO;MEDIANO;NO;USAQUEN
941000019740697;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
941000019741574;CANINO;MACHO;GRANDE;NO;USAQUEN
941000019741677;CANINO;HEMBRA;GRANDE;NO;USAQUEN
941000019742391;FELINO;MACHO;GRANDE;NO;USAQUEN
941000019742435;FELINO;HEMBRA;MEDIANO;NO;USAQUEN
941000019742436;CANINO;MACHO;MEDIANO;NO;USAQUEN
941000021202820;CANINO;HEMBRA;PEQUEÑO;NO;USAQUEN
941000021202829;CANINO;MACHO;MEDIANO;NO;USAQUEN
941000021202855;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
941000021202954;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
941000021202960;CANINO;HEMBRA;MEDIANO;SI;USAQUEN
941000021202986;CANINO;MACHO;MINIATURA;NO;USAQUEN
941000021202996;CANINO;MACHO;GRANDE;NO;USAQUEN
941000021202998;CANINO;MACHO;PEQUEÑO;NO;USAQUEN
941000021203001;FELINO;HEMBRA;MINIATURA;NO;USAQUEN
941000021203077;FELINO;MACHO;MINIATURA;NO;USAQUEN
941000021203121;CANINO;MACHO;MEDIANO;NO;USAQUEN
941000021203144;CANINO;MACHO;MINIATURA;NO;USAQUEN
941000021203184;CANINO;MACHO;MINIATURA;NO;USAQUEN
941000021203185;CANINO;MACHO;MINIATURA;NO;USAQUEN
941000021203235;CANINO;HEMBRA;MINIATURA;NO;USAQUEN
941000021203269;FELINO;HEMBRA;MEDIANO;NO;USAQUEN
941000021203277;FELINO;HEMBRA;PEQUEÑO;NO;USAQUEN
941000021203288;CANINO;MACHO;GRANDE;NO;USAQUEN
941000021203334;CANINO;MACHO;MEDIANO;SI;USAQUEN
941000021203339;FELINO;MACHO;PEQUEÑO;NO;USAQUEN
941000021203355;FELINO;HEMBRA;PEQUEÑO;NO;USAQUEN
941000021203406;CANINO;MACHO;MEDIANO;NO;USAQUEN
941000021203428;CANINO;HEMBRA;PEQUEÑO;NO;USAQUEN
941000021203504;CANINO;MACHO;MEDIANO;NO;USAQUEN
941000021203528;CANINO;HEMBRA;MINIATURA;NO;USAQUEN
941000021203530;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
941000021203535;CANINO;MACHO;MEDIANO;NO;USAQUEN
941000021203539;CANINO;HEMBRA;GRANDE;NO;USAQUEN
941000021203570;CANINO;HEMBRA;PEQUEÑO;NO;USAQUEN
941000021203580;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
941000021203595;CANINO;MACHO;MINIATURA;NO;USAQUEN
941000021203607;CANINO;MACHO;GRANDE;NO;USAQUEN
941000021203719;CANINO;MACHO;GRANDE;SI;USAQUEN
941000021203738;CANINO;HEMBRA;PEQUEÑO;NO;USAQUEN
941000021203780;CANINO;MACHO;MEDIANO;NO;USAQUEN
941000021203793;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
941000021203823;CANINO;MACHO;GRANDE;NO;USAQUEN
941000021203827;CANINO;MACHO;MEDIANO;NO;USAQUEN
941000021370463;CANINO;MACHO;MEDIANO;NO;USAQUEN
941000021370497;CANINO;MACHO;PEQUEÑO;NO;USAQUEN
941000021370501;CANINO;HEMBRA;PEQUEÑO;NO;USAQUEN
941000021370526;FELINO;HEMBRA;PEQUEÑO;NO;USAQUEN
941000021370528;CANINO;MACHO;GRANDE;NO;USAQUEN
941000021370547;FELINO;MACHO;MINIATURA;NO;USAQUEN
941000021370557;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
941000021370586;CANINO;HEMBRA;MINIATURA;NO;USAQUEN
941000021370598;CANINO;HEMBRA;PEQUEÑO;NO;USAQUEN
94100002FSAF1370604;CANINO;HEMBRA;GRANDE;NO;USAQUEN
941000021370609;CANINO;HEMBRA;MEDIANO;SI;USAQUEN
941000021370626;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
941000021370631;CANINO;HEMBRA;PEQUEÑO;NO;USAQUEN
941000021370633;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
941000021370641;CANINO;MACHO;MEDIANO;NO;USAQUEN
941000021370727;CANINO;MACHO;PEQUEÑO;NO;USAQUEN
941000021370791;CANINO;MACHO;PEQUEÑO;NO;USAQUEN
941000021370792;CANINO;MACHO;MEDIANO;NO;USAQUEN
941000021370800;FELINO;HEMBRA;MINIATURA;NO;USAQUEN
941000021370811;CANINO;MACHO;GRANDE;SI;USAQUEN
941000021370820;FELINO;HEMBRA;MINIATURA;NO;USAQUEN
941000021370833;FELINO;MACHO;MEDIANO;NO;USAQUEN
941000021370835;FELINO;HEMBRA;MINIATURA;NO;USAQUEN
941000021370846;CANINO;MACHO;PEQUEÑO;NO;USAQUEN
941000021370850;CANINO;MACHO;GRANDE;NO;USAQUEN
941000021370851;CANINO;MACHO;MEDIANO;NO;USAQUEN
941000021370886;CANINO;MACHO;GRANDE;NO;USAQUEN
941000021370978;CANINO;MACHO;MINIATURA;NO;USAQUEN
941000021370991;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
941000021370995;FELINO;HEMBRA;MEDIANO;NO;USAQUEN
941000021371084;FELINO;MACHO;PEQUEÑO;NO;USAQUEN
941000021371137;CANINO;MACHO;PEQUEÑO;NO;USAQUEN
941000021371173;CANINO;HEMBRA;GRANDE;NO;USAQUEN
941000021371174;FELINO;MACHO;MEDIANO;NO;USAQUEN
941000021568675;FELINO;MACHO;PEQUEÑO;NO;USAQUEN
941000021568724;CANINO;MACHO;GRANDE;NO;USAQUEN
941000021569031;CANINO;MACHO;GRANDE;NO;USAQUEN
941000021569033;CANINO;HEMBRA;PEQUEÑO;NO;USAQUEN
941000021569039;CANINO;MACHO;MEDIANO;NO;USAQUEN
941000021569051;CANINO;MACHO;PEQUEÑO;NO;USAQUEN
941000021569053;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
941000021569067;CANINO;HEMBRA;PEQUEÑO;NO;USAQUEN
941000021569075;CANINO;HEMBRA;PEQUEÑO;NO;USAQUEN
941000021569140;CANINO;MACHO;MEDIANO;NO;USAQUEN
941000021569252;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
941000021569360;CANINO;MACHO;PEQUEÑO;NO;USAQUEN
941000021570618;CANINO;HEMBRA;PEQUEÑO;NO;USAQUEN
956001700018771;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
956001700018862;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
956017000013890;CANINO;MACHO;MEDIANO;NO;USAQUEN
956017000015247;CANINO;HEMBRA;PEQUEÑO;NO;USAQUEN
956017000020011;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
956017000020016;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
966000101033553;CANINO;HEMBRA;PEQUEÑO;NO;USAQUEN
966000101057136;CANINO;MACHO;MEDIANO;SI;USAQUEN
966000101057149;FELINO;MACHO;MEDIANO;NO;USAQUEN
966000101057247;CANINO;MACHO;GRANDE;SI;USAQUEN
966000101057475;CANINO;HEMBRA;MEDIANO;SI;USAQUEN
966000101057505;CANINO;MACHO;GRANDE;NO;USAQUEN
966000101057826;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
966000101057996;FELINO;MACHO;PEQUEÑO;NO;USAQUEN
966000101059368;CANINO;HEMBRA;PEQUEÑO;NO;USAQUEN
966000101063233;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
966000101063408;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
